iter	Logloss
0	0.6545441926
1	0.6173620059
2	0.5854321804
3	0.5545173925
4	0.530854671
5	0.5063155331
6	0.4851757399
7	0.4677877461
8	0.4546177995
9	0.4412575016
10	0.4252044592
11	0.4148141103
12	0.4039497075
13	0.3907472432
14	0.3815543324
15	0.3758238912
16	0.371076299
17	0.362577459
18	0.355526612
19	0.3500342396
20	0.3443598459
21	0.3381174735
22	0.3344793663
23	0.3281428996
24	0.3234950034
25	0.3205108642
26	0.3163973455
27	0.3137671256
28	0.3092130586
29	0.3074781993
30	0.3051474545
31	0.3033969229
32	0.2994516989
33	0.2951587846
34	0.2934634502
35	0.2914065718
36	0.2894973717
37	0.285817879
38	0.283132302
39	0.2815915921
40	0.2786347955
41	0.2768187871
42	0.2741935125
43	0.272145259
44	0.2700809198
45	0.268439842
46	0.2679495177
47	0.2650956304
48	0.2633790106
49	0.2617084195
50	0.2595300159
51	0.2566719531
52	0.2544293212
53	0.2530269247
54	0.2514123656
55	0.2498064438
56	0.2468889978
57	0.2453042994
58	0.244019072
59	0.2429250919
60	0.2414343463
61	0.2413921336
62	0.2409617287
63	0.239671075
64	0.2386456732
65	0.237026875
66	0.2358569378
67	0.2340449318
68	0.2330221835
69	0.2316352133
70	0.2304218806
71	0.2297354382
72	0.2281959892
73	0.2269035409
74	0.2251433601
75	0.2238806104
76	0.2230375997
77	0.222331548
78	0.2213211233
79	0.2199083035
80	0.2197297935
81	0.2183718856
82	0.218261175
83	0.2162336004
84	0.2140706491
85	0.2128117732
86	0.2117764403
87	0.2117755209
88	0.2102907838
89	0.2095487723
90	0.2083040248
91	0.2072363912
92	0.2061572419
93	0.2050999799
94	0.2039148423
95	0.2022881947
96	0.2010158853
97	0.2001319183
98	0.1995906753
99	0.1989387969
100	0.1985290776
101	0.1974884966
102	0.1964286234
103	0.1951274373
104	0.1932989379
105	0.1919073586
106	0.1911885934
107	0.1896848631
108	0.1893291442
109	0.1888314839
110	0.1879753378
111	0.186831031
112	0.1863144653
113	0.1850245818
114	0.1838051804
115	0.1824933806
116	0.1823310179
117	0.1811528516
118	0.1793774283
119	0.1785426549
120	0.1774925379
121	0.1774762838
122	0.1773113709
123	0.1768718918
124	0.1763058274
125	0.1758626028
126	0.1747332408
127	0.1730821937
128	0.172469646
129	0.1717307577
130	0.1714843165
131	0.1711564084
132	0.1700349384
133	0.1686757245
134	0.1679563359
135	0.1667274185
136	0.166444372
137	0.1648184324
138	0.1636841054
139	0.1626982046
140	0.1617264182
141	0.1613922568
142	0.1605809903
143	0.1595918952
144	0.1589585567
145	0.1585105258
146	0.1571805426
147	0.1564015918
148	0.155838714
149	0.1553660114
150	0.1547368724
151	0.1539361312
152	0.1531053209
153	0.1519947723
154	0.151651771
155	0.1513605812
156	0.1506409301
157	0.1497328543
158	0.14955802
159	0.1489343904
160	0.1479320329
161	0.1471510111
162	0.1464065968
163	0.1463734227
164	0.1455361581
165	0.1447444274
166	0.1431897488
167	0.1425046739
168	0.1412396479
169	0.1407945592
170	0.1405675589
171	0.1397490257
172	0.1388015783
173	0.1381065336
174	0.1377313241
175	0.1369129048
176	0.1367760082
177	0.1356479638
178	0.1350054541
179	0.1342880609
180	0.1336919485
181	0.1333231099
182	0.1324144498
183	0.131785658
184	0.1314652446
185	0.1308990854
186	0.1299406344
187	0.1290273187
188	0.1284825171
189	0.1278494
190	0.1270468875
191	0.1263497795
192	0.125681087
193	0.124668033
194	0.1239477833
195	0.1233063991
196	0.1227599891
197	0.1224103718
198	0.1221701506
199	0.1210948257
200	0.1204381976
201	0.1202288933
202	0.1199256816
203	0.1194571563
204	0.1184923065
205	0.1182734543
206	0.1175102914
207	0.1168142644
208	0.1166418007
209	0.1165562385
210	0.1158906811
211	0.1158036657
212	0.1151092156
213	0.1145190885
214	0.1144661755
215	0.1136694673
216	0.113272445
217	0.1129231979
218	0.1128290314
219	0.1124133681
220	0.1119140283
221	0.111631005
222	0.1112519075
223	0.1110770383
224	0.110039154
225	0.1095717167
226	0.1086316803
227	0.1083359656
228	0.1079552969
229	0.1074374066
230	0.1073175965
231	0.1066850857
232	0.1061440148
233	0.1055645604
234	0.1048575239
235	0.1047834184
236	0.1039559788
237	0.1035687625
238	0.1029323079
239	0.1019800091
240	0.101415836
241	0.1008913445
242	0.1005745463
243	0.1001963913
244	0.09984462345
245	0.09942266183
246	0.09865558303
247	0.09809707947
248	0.09792485389
249	0.09788887167
250	0.09743694998
251	0.09692294633
252	0.09626833827
253	0.09573942202
254	0.09523556363
255	0.0946552342
256	0.0945752852
257	0.09430533193
258	0.09380129139
259	0.09360473091
260	0.09311536028
261	0.0925775117
262	0.09226150333
263	0.0919353901
264	0.09154541856
265	0.09117589829
266	0.090630326
267	0.09044463003
268	0.08992637529
269	0.08946396106
270	0.08923043722
271	0.08898851696
272	0.08852445672
273	0.08813549157
274	0.08791539233
275	0.08756373063
276	0.08711504458
277	0.08676494558
278	0.08582985541
279	0.08530417687
280	0.08494812176
281	0.08456284194
282	0.08414535574
283	0.0837225561
284	0.08317600281
285	0.08286141931
286	0.08257851116
287	0.0823113999
288	0.08196741406
289	0.08168659724
290	0.08139723703
291	0.08105022285
292	0.08024465553
293	0.08019589487
294	0.07977564916
295	0.07960704431
296	0.07923518193
297	0.07869069243
298	0.07827260754
299	0.0779397804
300	0.07761475982
301	0.07747947557
302	0.07703809852
303	0.07637463402
304	0.0762766518
305	0.07590281999
306	0.07584586455
307	0.07537855677
308	0.07498062197
309	0.07472643357
310	0.07433778635
311	0.07408573566
312	0.0736269626
313	0.07343756147
314	0.07339831278
315	0.07319582224
316	0.07301940621
317	0.07263231924
318	0.07230928156
319	0.07217641141
320	0.07207552945
321	0.07171067469
322	0.07156252676
323	0.07137304028
324	0.07110566615
325	0.07106863263
326	0.07099409053
327	0.07079316465
328	0.07069448489
329	0.0704522212
330	0.07021139265
331	0.07001958786
332	0.0699270232
333	0.06969885171
334	0.06940200982
335	0.06909471174
336	0.06885420004
337	0.06864230742
338	0.06827365078
339	0.06814717677
340	0.06790397174
341	0.06753457467
342	0.06703430152
343	0.0669319581
344	0.06669192175
345	0.06650726061
346	0.06630352408
347	0.06612778921
348	0.0660031047
349	0.06587130141
350	0.06551411621
351	0.06531663487
352	0.06521557226
353	0.0647593752
354	0.06445165704
355	0.06409302681
356	0.06356703138
357	0.06339031726
358	0.06310817567
359	0.06293497647
360	0.06282792651
361	0.06260020918
362	0.0625385254
363	0.06247874026
364	0.06235992029
365	0.06208959994
366	0.06200012277
367	0.06168259457
368	0.06120322554
369	0.06104402224
370	0.06068427227
371	0.06054223702
372	0.06036725815
373	0.06024429571
374	0.06017660246
375	0.06011504654
376	0.05993910596
377	0.05990806602
378	0.05978381907
379	0.0595947461
380	0.05937758655
381	0.0591145575
382	0.05906169551
383	0.05896908196
384	0.05877108943
385	0.05860311141
386	0.0584181052
387	0.0579583459
388	0.057757463
389	0.05756138592
390	0.05740600884
391	0.05727197642
392	0.05710283223
393	0.05687788669
394	0.05679028315
395	0.05670192751
396	0.0562959294
397	0.05603780465
398	0.05583008017
399	0.05572996116
400	0.05566457572
401	0.05550918969
402	0.05540452084
403	0.05526826447
404	0.05506415153
405	0.05468520183
406	0.05460068011
407	0.05448052189
408	0.05430806472
409	0.05414929072
410	0.05386152272
411	0.05355090169
412	0.0534295467
413	0.0533175954
414	0.05319824079
415	0.05295813202
416	0.05254847942
417	0.0523440494
418	0.05221093721
419	0.05206422737
420	0.05200584364
421	0.05188637504
422	0.05165107715
423	0.05112459495
424	0.0508421916
425	0.05067714385
426	0.05050399006
427	0.05042046406
428	0.05011232196
429	0.04990036259
430	0.04979136823
431	0.04968677252
432	0.04959756803
433	0.04944317584
434	0.04936076568
435	0.04925960464
436	0.04900294086
437	0.0489223183
438	0.04885738315
439	0.04874561984
440	0.04859114063
441	0.04846225551
442	0.0482888621
443	0.04816145077
444	0.04803565992
445	0.04777034958
446	0.04762229875
447	0.04748485437
448	0.04738298199
449	0.04724874097
450	0.04710601396
451	0.04700506921
452	0.04683839728
453	0.04670696411
454	0.04663220956
455	0.04655620849
456	0.04652206991
457	0.04627673097
458	0.04617711745
459	0.04613964681
460	0.04599273601
461	0.04569957584
462	0.04556904443
463	0.04545221221
464	0.04531016294
465	0.0451686307
466	0.04511355116
467	0.04505982969
468	0.04498568545
469	0.04485529563
470	0.04458452913
471	0.04445890676
472	0.04441768149
473	0.0443690851
474	0.04423965488
475	0.04412747131
476	0.04399912657
477	0.04391064567
478	0.0437449502
479	0.04362813856
480	0.04348039457
481	0.04343160001
482	0.04337792944
483	0.04321573227
484	0.04310395231
485	0.04298498087
486	0.04288941685
487	0.04283773364
488	0.04278923102
489	0.04266754871
490	0.04257297597
491	0.04251106066
492	0.04246157144
493	0.0423290881
494	0.0422387165
495	0.04202132615
496	0.04189773022
497	0.04179416997
498	0.04174411777
499	0.04168326692
