title,author,genre,publisher,price,rating,reviews_count,sales_rank,year,log_reviews,author_bestseller_count,book_age,is_recent,price_category,rating_category,reviews_category,genre_avg_price,price_vs_genre_avg,rating_reviews_interaction,price_zscore,reviews_percentile,genre_encoded,author_encoded,publisher_encoded
Essential AI Trilogy,Robert Kiyosaki,fantasy,Penguin Random House,17.48,5.0,1858,1028,2018,7.527793987721444,52,8,0,mid_range,high,high,16.82627906976744,0.6537209302325593,37.63896993860722,0.08810132559926881,84.93975903614458,3,13,6
Advanced Meditation Saga,Alex Michaelides,fiction,Amazon KDP,13.83,4.6,2198,2206,2011,7.695757990554761,48,15,0,budget,high,high,25.9630303030303,-12.133030303030301,35.4004867565519,-0.20320057620414358,88.45381526104418,4,1,0
Forgotten Fitness Guide,James Clear,mystery,Macmillan,12.65,4.3,1011,621,2023,6.919683849847411,43,3,1,budget,high,high,18.75859649122807,-6.108596491228068,29.754640554343865,-0.9350221960872607,67.8714859437751,7,9,4
Advanced War Masterclass,J.K. Rowling,biography,Amazon KDP,16.21,3.9,20,8521,2020,3.044522437723423,52,6,0,mid_range,medium,low,24.535342465753423,-8.325342465753423,11.87363750712135,-0.14625031200396307,0.7028112449799196,0,8,0
Machine Learning Collection,Agatha Christie,fiction,HarperCollins,9.94,3.5,227,1776,2021,5.429345628954441,39,5,0,budget,low,low,25.9630303030303,-16.023030303030303,19.002709701340542,-0.2683492012130747,20.33132530120482,4,0,2
Past Design Framework,Robert Kiyosaki,romance,Amazon KDP,22.33,3.5,1021,1047,2012,6.92951677076365,52,14,0,mid_range,low,high,17.3478125,4.982187499999998,24.253308697672775,0.9458149531843543,68.37349397590361,9,13,0
Future History Bible,Malcolm Gladwell,mystery,HarperCollins,17.28,4.4,165,1915,2011,5.111987788356544,44,15,0,mid_range,high,low,18.75859649122807,-1.4785964912280676,22.492746268768794,-0.22632376198694534,13.855421686746988,7,10,2
Dark Love Chronicles,Yuval Noah Harari,health,HarperCollins,12.0,5.0,241,2264,2022,5.488937726156687,44,4,0,budget,high,low,18.720967741935485,-6.720967741935485,27.444688630783432,-1.0664655777437797,22.13855421686747,5,19,2
Data Science Chronicles,Dale Carnegie,technology,Macmillan,24.93,3.6,656,3466,2018,6.48768401848461,48,8,0,mid_range,medium,medium,27.96157894736842,-3.03157894736842,23.355662466544597,-0.4530450184534063,53.31325301204819,13,5,4
Dark Marketing Secrets,Yuval Noah Harari,romance,Simon & Schuster,16.04,4.3,81,3246,2024,4.406719247264253,44,2,1,mid_range,high,low,17.3478125,-1.3078125000000007,18.948892763236287,-0.24827420053167698,4.518072289156627,9,19,7
Mystery Principles,Tim Ferriss,fantasy,Penguin Random House,18.69,4.0,475,1871,2017,6.16541785423142,50,9,0,mid_range,medium,medium,16.82627906976744,1.8637209302325601,24.66167141692568,0.25117183328087417,41.46586345381526,3,17,6
Hidden Time Story,Malcolm Gladwell,fiction,Indie Pub,7.61,4.7,224,2808,2016,5.41610040220442,44,10,0,budget,high,low,25.9630303030303,-18.3530303030303,25.455671890360776,-0.3073713853443882,19.829317269076306,4,10,3
Leadership Workbook,Stephen King,science,Macmillan,26.72,4.0,895,1544,2018,6.79794041297493,66,8,0,premium,medium,medium,34.48933333333333,-7.7693333333333285,27.19176165189972,-0.1411153012620135,63.00200803212851,10,15,4
